State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Pecos,81,-103.110992,31.255918 -103.10337,31.255918 -103.10337,31.24732 -103.110992,31.24732 -103.110992,31.255918
TX,Pecos,82,-103.118614,31.24732 -103.110992,31.24732 -103.110992,31.238722 -103.118614,31.238722 -103.118614,31.24732
TX,Pecos,83,-103.110992,31.24732 -103.10337,31.24732 -103.10337,31.238722 -103.110992,31.238722 -103.110992,31.24732
TX,Pecos,84,-103.118614,31.238722 -103.113532,31.238722 -103.113532,31.225825 -103.118614,31.225825 -103.118614,31.238722
TX,Pecos,85,-103.10337,31.238722 -103.10337,31.232273 -103.113532,31.232273 -103.113532,31.238722 -103.10337,31.238722
TX,Pecos,86,-103.10337,31.232273 -103.10337,31.225825 -103.113532,31.225825 -103.113532,31.232273 -103.10337,31.232273
TX,Pecos,87,-103.10337,31.266102 -103.096454,31.266102 -103.096454,31.256625 -103.10337,31.256625 -103.10337,31.266102
TX,Pecos,88,-103.096454,31.266102 -103.089539,31.266102 -103.089539,31.256625 -103.096454,31.256625 -103.096454,31.266102
TX,Pecos,89,-103.10337,31.256625 -103.096454,31.256625 -103.096454,31.247148 -103.10337,31.247148 -103.10337,31.256625
TX,Pecos,90,-103.096454,31.256625 -103.089539,31.256625 -103.089539,31.247148 -103.096454,31.247148 -103.096454,31.256625
TX,Pecos,91,-103.089539,31.266102 -103.082624,31.266102 -103.082624,31.256625 -103.089539,31.256625 -103.089539,31.266102
TX,Pecos,92,-103.082624,31.266102 -103.075709,31.266102 -103.075709,31.256625 -103.082624,31.256625 -103.082624,31.266102
TX,Pecos,93,-103.089539,31.256625 -103.082624,31.256625 -103.082624,31.247148 -103.089539,31.247148 -103.089539,31.256625
TX,Pecos,94,-103.082624,31.256625 -103.075709,31.256625 -103.075709,31.247148 -103.082624,31.247148 -103.082624,31.256625
TX,Pecos,95,-103.10337,31.247148 -103.097223,31.247148 -103.097223,31.236487 -103.10337,31.236487 -103.10337,31.247148
TX,Pecos,96,-103.097223,31.247148 -103.091076,31.247148 -103.091076,31.236487 -103.097223,31.236487 -103.097223,31.247148
TX,Pecos,97,-103.10337,31.236487 -103.097223,31.236487 -103.097223,31.225825 -103.10337,31.225825 -103.10337,31.236487
TX,Pecos,98,-103.097223,31.236487 -103.091076,31.236487 -103.091076,31.225825 -103.097223,31.225825 -103.097223,31.236487
TX,Pecos,99,-103.091076,31.247148 -103.083392,31.247148 -103.083392,31.238619 -103.091076,31.238619 -103.091076,31.247148
TX,Pecos,100,-103.083392,31.247148 -103.075709,31.247148 -103.075709,31.238619 -103.083392,31.238619 -103.083392,31.247148
TX,Pecos,101,-103.091076,31.238619 -103.085954,31.238619 -103.085954,31.225825 -103.091076,31.225825 -103.091076,31.238619
TX,Pecos,102,-103.075709,31.238619 -103.075709,31.232222 -103.085954,31.232222 -103.085954,31.238619 -103.075709,31.238619
TX,Pecos,103,-103.075709,31.232222 -103.075709,31.225825 -103.085954,31.225825 -103.085954,31.232222 -103.075709,31.232222
TX,Pecos,104,-103.075709,31.266102 -103.068794,31.266102 -103.068794,31.256625 -103.075709,31.256625 -103.075709,31.266102
TX,Pecos,105,-103.068794,31.266102 -103.061878,31.266102 -103.061878,31.256625 -103.068794,31.256625 -103.068794,31.266102
TX,Pecos,106,-103.075709,31.256625 -103.068794,31.256625 -103.068794,31.247148 -103.075709,31.247148 -103.075709,31.256625
TX,Pecos,107,-103.068794,31.256625 -103.061878,31.256625 -103.061878,31.247148 -103.068794,31.247148 -103.068794,31.256625
TX,Pecos,108,-103.061878,31.266102 -103.054963,31.266102 -103.054963,31.256625 -103.061878,31.256625 -103.061878,31.266102
TX,Pecos,109,-103.054963,31.266102 -103.048048,31.266102 -103.048048,31.256625 -103.054963,31.256625 -103.054963,31.266102
TX,Pecos,110,-103.061878,31.256625 -103.054963,31.256625 -103.054963,31.247148 -103.061878,31.247148 -103.061878,31.256625
TX,Pecos,111,-103.054963,31.256625 -103.048048,31.256625 -103.048048,31.247148 -103.054963,31.247148 -103.054963,31.256625
TX,Pecos,112,-103.075709,31.247148 -103.069562,31.247148 -103.069562,31.236487 -103.075709,31.236487 -103.075709,31.247148
TX,Pecos,113,-103.069562,31.247148 -103.063415,31.247148 -103.063415,31.236487 -103.069562,31.236487 -103.069562,31.247148
TX,Pecos,114,-103.075709,31.236487 -103.069562,31.236487 -103.069562,31.225825 -103.075709,31.225825 -103.075709,31.236487
TX,Pecos,115,-103.069562,31.236487 -103.063415,31.236487 -103.063415,31.225825 -103.069562,31.225825 -103.069562,31.236487
TX,Pecos,116,-103.063415,31.247148 -103.055732,31.247148 -103.055732,31.238619 -103.063415,31.238619 -103.063415,31.247148
TX,Pecos,117,-103.055732,31.247148 -103.048048,31.247148 -103.048048,31.238619 -103.055732,31.238619 -103.055732,31.247148
TX,Pecos,118,-103.063415,31.238619 -103.058293,31.238619 -103.058293,31.225825 -103.063415,31.225825 -103.063415,31.238619
TX,Pecos,119,-103.048048,31.238619 -103.048048,31.232222 -103.058293,31.232222 -103.058293,31.238619 -103.048048,31.238619
TX,Pecos,120,-103.048048,31.232222 -103.048048,31.225825 -103.058293,31.225825 -103.058293,31.232222 -103.048048,31.232222
TX,Pecos,121,-103.048048,31.266102 -103.04154,31.266102 -103.04154,31.256033 -103.048048,31.256033 -103.048048,31.266102
TX,Pecos,122,-103.04154,31.266102 -103.035031,31.266102 -103.035031,31.256033 -103.04154,31.256033 -103.04154,31.266102
TX,Pecos,123,-103.048048,31.256033 -103.04154,31.256033 -103.04154,31.245964 -103.048048,31.245964 -103.048048,31.256033
TX,Pecos,124,-103.04154,31.256033 -103.035031,31.256033 -103.035031,31.245964 -103.04154,31.245964 -103.04154,31.256033
TX,Pecos,125,-103.035031,31.266102 -103.026896,31.266102 -103.026896,31.258047 -103.035031,31.258047 -103.035031,31.266102
TX,Pecos,126,-103.026896,31.266102 -103.01876,31.266102 -103.01876,31.258047 -103.026896,31.258047 -103.026896,31.266102
TX,Pecos,127,-103.035031,31.258047 -103.029607,31.258047 -103.029607,31.245964 -103.035031,31.245964 -103.035031,31.258047
TX,Pecos,128,-103.01876,31.258047 -103.01876,31.252005 -103.029607,31.252005 -103.029607,31.258047 -103.01876,31.258047
TX,Pecos,129,-103.01876,31.252005 -103.01876,31.245964 -103.029607,31.245964 -103.029607,31.252005 -103.01876,31.252005
TX,Pecos,130,-103.048048,31.245964 -103.04154,31.245964 -103.04154,31.235894 -103.048048,31.235894 -103.048048,31.245964
TX,Pecos,131,-103.04154,31.245964 -103.035031,31.245964 -103.035031,31.235894 -103.04154,31.235894 -103.04154,31.245964
TX,Pecos,132,-103.048048,31.235894 -103.04154,31.235894 -103.04154,31.225825 -103.048048,31.225825 -103.048048,31.235894
TX,Pecos,133,-103.04154,31.235894 -103.035031,31.235894 -103.035031,31.225825 -103.04154,31.225825 -103.04154,31.235894
TX,Pecos,134,-103.035031,31.245964 -103.026896,31.245964 -103.026896,31.237908 -103.035031,31.237908 -103.035031,31.245964
TX,Pecos,135,-103.026896,31.245964 -103.01876,31.245964 -103.01876,31.237908 -103.026896,31.237908 -103.026896,31.245964
TX,Pecos,136,-103.035031,31.237908 -103.029607,31.237908 -103.029607,31.225825 -103.035031,31.225825 -103.035031,31.237908
TX,Pecos,137,-103.01876,31.237908 -103.01876,31.231867 -103.029607,31.231867 -103.029607,31.237908 -103.01876,31.237908
TX,Pecos,138,-103.01876,31.231867 -103.01876,31.225825 -103.029607,31.225825 -103.029607,31.231867 -103.01876,31.231867
TX,Pecos,139,-103.158811,31.216815 -103.158811,31.205087 -103.169987,31.205087 -103.158811,31.216815
TX,Pecos,140,-103.158811,31.205087 -103.158811,31.200229 -103.174616,31.200229 -103.169987,31.205087 -103.158811,31.205087
TX,Pecos,141,-103.181163,31.193359 -103.174616,31.200229 -103.16835,31.200229 -103.16835,31.193359 -103.181163,31.193359
TX,Pecos,142,-103.16835,31.200229 -103.158811,31.200229 -103.158811,31.193359 -103.16835,31.193359 -103.16835,31.200229
TX,Pecos,143,-103.190421,31.183644 -103.181163,31.193359 -103.179047,31.193359 -103.179047,31.183644 -103.190421,31.183644
TX,Pecos,144,-103.179047,31.193359 -103.172301,31.193359 -103.172301,31.183644 -103.179047,31.183644 -103.179047,31.193359
TX,Pecos,145,-103.172301,31.193359 -103.165556,31.193359 -103.165556,31.183644 -103.172301,31.183644 -103.172301,31.193359
TX,Pecos,146,-103.165556,31.193359 -103.158811,31.193359 -103.158811,31.183644 -103.165556,31.183644 -103.165556,31.193359
TX,Pecos,147,-103.204891,31.16846 -103.193715,31.180188 -103.193715,31.16846 -103.204891,31.16846
TX,Pecos,148,-103.193715,31.180188 -103.190421,31.183644 -103.189024,31.183644 -103.189024,31.16846 -103.193715,31.16846 -103.193715,31.180188
TX,Pecos,149,-103.180391,31.183644 -103.180391,31.176052 -103.189024,31.176052 -103.189024,31.183644 -103.180391,31.183644
TX,Pecos,150,-103.180391,31.176052 -103.180391,31.16846 -103.189024,31.16846 -103.189024,31.176052 -103.180391,31.176052
TX,Pecos,151,-103.171759,31.183644 -103.171759,31.176052 -103.180391,31.176052 -103.180391,31.183644 -103.171759,31.183644
TX,Pecos,152,-103.171759,31.176052 -103.171759,31.16846 -103.180391,31.16846 -103.180391,31.176052 -103.171759,31.176052
TX,Pecos,153,-103.158811,31.183644 -103.158811,31.178582 -103.171759,31.178582 -103.171759,31.183644 -103.158811,31.183644
TX,Pecos,154,-103.171759,31.178582 -103.165285,31.178582 -103.165285,31.16846 -103.171759,31.16846 -103.171759,31.178582
TX,Pecos,155,-103.165285,31.178582 -103.158811,31.178582 -103.158811,31.16846 -103.165285,31.16846 -103.165285,31.178582
TX,Pecos,156,-103.147471,31.225825 -103.147471,31.216635 -103.158811,31.216635 -103.158811,31.216815 -103.150225,31.225825 -103.147471,31.225825
TX,Pecos,157,-103.147471,31.216635 -103.147471,31.210855 -103.158811,31.210855 -103.158811,31.216635 -103.147471,31.216635
TX,Pecos,158,-103.138715,31.225825 -103.138715,31.21834 -103.147471,31.21834 -103.147471,31.225825 -103.138715,31.225825
TX,Pecos,159,-103.138715,31.21834 -103.138715,31.210855 -103.147471,31.210855 -103.147471,31.21834 -103.138715,31.21834
TX,Pecos,160,-103.148763,31.210855 -103.148763,31.204333 -103.158811,31.204333 -103.158811,31.210855 -103.148763,31.210855
TX,Pecos,161,-103.148763,31.204333 -103.148763,31.197811 -103.158811,31.197811 -103.158811,31.204333 -103.148763,31.204333
TX,Pecos,162,-103.138715,31.210855 -103.138715,31.204333 -103.148763,31.204333 -103.148763,31.210855 -103.138715,31.210855
TX,Pecos,163,-103.138715,31.204333 -103.138715,31.197811 -103.148763,31.197811 -103.148763,31.204333 -103.138715,31.204333
TX,Pecos,164,-103.148763,31.197811 -103.148763,31.191288 -103.158811,31.191288 -103.158811,31.197811 -103.148763,31.197811
TX,Pecos,165,-103.148763,31.191288 -103.148763,31.184766 -103.158811,31.184766 -103.158811,31.191288 -103.148763,31.191288
TX,Pecos,166,-103.138715,31.197811 -103.138715,31.191288 -103.148763,31.191288 -103.148763,31.197811 -103.138715,31.197811
TX,Pecos,167,-103.138715,31.191288 -103.138715,31.184766 -103.148763,31.184766 -103.148763,31.191288 -103.138715,31.191288
TX,Pecos,168,-103.150772,31.184766 -103.150772,31.176613 -103.158811,31.176613 -103.158811,31.184766 -103.150772,31.184766
TX,Pecos,169,-103.150772,31.176613 -103.150772,31.16846 -103.158811,31.16846 -103.158811,31.176613 -103.150772,31.176613
TX,Pecos,170,-103.138715,31.184766 -103.138715,31.17933 -103.150772,31.17933 -103.150772,31.184766 -103.138715,31.184766
TX,Pecos,171,-103.150772,31.17933 -103.144744,31.17933 -103.144744,31.16846 -103.150772,31.16846 -103.150772,31.17933
TX,Pecos,172,-103.144744,31.17933 -103.138715,31.17933 -103.138715,31.16846 -103.144744,31.16846 -103.144744,31.17933
TX,Pecos,173,-103.129307,31.225825 -103.129307,31.218859 -103.138715,31.218859 -103.138715,31.225825 -103.129307,31.225825
TX,Pecos,174,-103.129307,31.218859 -103.129307,31.211893 -103.138715,31.211893 -103.138715,31.218859 -103.129307,31.218859
TX,Pecos,175,-103.119899,31.225825 -103.119899,31.218859 -103.129307,31.218859 -103.129307,31.225825 -103.119899,31.225825
TX,Pecos,176,-103.119899,31.218859 -103.119899,31.211893 -103.129307,31.211893 -103.129307,31.218859 -103.119899,31.218859
TX,Pecos,177,-103.129307,31.211893 -103.129307,31.204928 -103.138715,31.204928 -103.138715,31.211893 -103.129307,31.211893
TX,Pecos,178,-103.129307,31.204928 -103.129307,31.197962 -103.138715,31.197962 -103.138715,31.204928 -103.129307,31.204928
TX,Pecos,179,-103.119899,31.211893 -103.119899,31.204928 -103.129307,31.204928 -103.129307,31.211893 -103.119899,31.211893
TX,Pecos,180,-103.119899,31.204928 -103.119899,31.197962 -103.129307,31.197962 -103.129307,31.204928 -103.119899,31.204928
TX,Pecos,181,-103.109314,31.225825 -103.109314,31.219633 -103.119899,31.219633 -103.119899,31.225825 -103.109314,31.225825
TX,Pecos,182,-103.109314,31.219633 -103.109314,31.213441 -103.119899,31.213441 -103.119899,31.219633 -103.109314,31.219633
TX,Pecos,183,-103.09873,31.225825 -103.09873,31.219633 -103.109314,31.219633 -103.109314,31.225825 -103.09873,31.225825
TX,Pecos,184,-103.09873,31.219633 -103.09873,31.213441 -103.109314,31.213441 -103.109314,31.219633 -103.09873,31.219633
