State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Comal,168,-98.419863,29.912156 -98.412697,29.912156 -98.412697,29.903006 -98.419863,29.903006 -98.419863,29.912156
TX,Comal,169,-98.412697,29.912156 -98.405532,29.912156 -98.405532,29.903006 -98.412697,29.903006 -98.412697,29.912156
TX,Comal,170,-98.405532,29.921306 -98.398367,29.921306 -98.398367,29.912156 -98.405532,29.912156 -98.405532,29.921306
TX,Comal,171,-98.398367,29.921306 -98.391201,29.921306 -98.391201,29.912156 -98.398367,29.912156 -98.398367,29.921306
TX,Comal,172,-98.405532,29.912156 -98.398367,29.912156 -98.398367,29.903006 -98.405532,29.903006 -98.405532,29.912156
TX,Comal,173,-98.398367,29.912156 -98.391201,29.912156 -98.391201,29.903006 -98.398367,29.903006 -98.398367,29.912156
TX,Comal,174,-98.419863,29.903006 -98.412697,29.903006 -98.412697,29.893855 -98.419863,29.893855 -98.419863,29.903006
TX,Comal,175,-98.412697,29.903006 -98.405532,29.903006 -98.405532,29.893855 -98.412697,29.893855 -98.412697,29.903006
TX,Comal,176,-98.419863,29.893855 -98.412697,29.893855 -98.412697,29.884705 -98.419863,29.884705 -98.419863,29.893855
TX,Comal,177,-98.412697,29.893855 -98.405532,29.893855 -98.405532,29.884705 -98.412697,29.884705 -98.412697,29.893855
TX,Comal,178,-98.405532,29.903006 -98.398367,29.903006 -98.398367,29.893855 -98.405532,29.893855 -98.405532,29.903006
TX,Comal,179,-98.398367,29.903006 -98.391201,29.903006 -98.391201,29.893855 -98.398367,29.893855 -98.398367,29.903006
TX,Comal,180,-98.405532,29.893855 -98.398367,29.893855 -98.398367,29.884705 -98.405532,29.884705 -98.405532,29.893855
TX,Comal,181,-98.398367,29.893855 -98.391201,29.893855 -98.391201,29.884705 -98.398367,29.884705 -98.398367,29.893855
TX,Comal,182,-98.391201,29.921306 -98.383588,29.921306 -98.383588,29.912694 -98.391201,29.912694 -98.391201,29.921306
TX,Comal,183,-98.383588,29.921306 -98.375975,29.921306 -98.375975,29.912694 -98.383588,29.912694 -98.383588,29.921306
TX,Comal,184,-98.391201,29.912694 -98.383588,29.912694 -98.383588,29.904082 -98.391201,29.904082 -98.391201,29.912694
TX,Comal,185,-98.383588,29.912694 -98.375975,29.912694 -98.375975,29.904082 -98.383588,29.904082 -98.383588,29.912694
TX,Comal,186,-98.375975,29.921306 -98.368362,29.921306 -98.368362,29.912694 -98.375975,29.912694 -98.375975,29.921306
TX,Comal,187,-98.368362,29.921306 -98.360749,29.921306 -98.360749,29.912694 -98.368362,29.912694 -98.368362,29.921306
TX,Comal,188,-98.375975,29.912694 -98.368362,29.912694 -98.368362,29.904082 -98.375975,29.904082 -98.375975,29.912694
TX,Comal,189,-98.368362,29.912694 -98.360749,29.912694 -98.360749,29.904082 -98.368362,29.904082 -98.368362,29.912694
TX,Comal,190,-98.391201,29.904082 -98.384434,29.904082 -98.384434,29.894394 -98.391201,29.894394 -98.391201,29.904082
TX,Comal,191,-98.384434,29.904082 -98.377667,29.904082 -98.377667,29.894394 -98.384434,29.894394 -98.384434,29.904082
TX,Comal,192,-98.391201,29.894394 -98.384434,29.894394 -98.384434,29.884705 -98.391201,29.884705 -98.391201,29.894394
TX,Comal,193,-98.384434,29.894394 -98.377667,29.894394 -98.377667,29.884705 -98.384434,29.884705 -98.384434,29.894394
TX,Comal,194,-98.377667,29.904082 -98.369208,29.904082 -98.369208,29.896331 -98.377667,29.896331 -98.377667,29.904082
TX,Comal,195,-98.369208,29.904082 -98.360749,29.904082 -98.360749,29.896331 -98.369208,29.896331 -98.369208,29.904082
TX,Comal,196,-98.377667,29.896331 -98.372027,29.896331 -98.372027,29.884705 -98.377667,29.884705 -98.377667,29.896331
TX,Comal,197,-98.360749,29.896331 -98.360749,29.890518 -98.372027,29.890518 -98.372027,29.896331 -98.360749,29.896331
TX,Comal,198,-98.360749,29.890518 -98.360749,29.884705 -98.372027,29.884705 -98.372027,29.890518 -98.360749,29.890518
TX,Comal,199,-98.419863,29.884705 -98.412697,29.884705 -98.412697,29.875555 -98.419863,29.875555 -98.419863,29.884705
TX,Comal,200,-98.412697,29.884705 -98.405532,29.884705 -98.405532,29.875555 -98.412697,29.875555 -98.412697,29.884705
TX,Comal,201,-98.419863,29.875555 -98.412697,29.875555 -98.412697,29.866405 -98.419863,29.866405 -98.419863,29.875555
TX,Comal,202,-98.412697,29.875555 -98.405532,29.875555 -98.405532,29.866405 -98.412697,29.866405 -98.412697,29.875555
TX,Comal,203,-98.405532,29.884705 -98.398367,29.884705 -98.398367,29.875555 -98.405532,29.875555 -98.405532,29.884705
TX,Comal,204,-98.398367,29.884705 -98.391201,29.884705 -98.391201,29.875555 -98.398367,29.875555 -98.398367,29.884705
TX,Comal,205,-98.405532,29.875555 -98.398367,29.875555 -98.398367,29.866405 -98.405532,29.866405 -98.405532,29.875555
TX,Comal,206,-98.398367,29.875555 -98.391201,29.875555 -98.391201,29.866405 -98.398367,29.866405 -98.398367,29.875555
TX,Comal,207,-98.419863,29.866405 -98.412697,29.866405 -98.412697,29.857255 -98.419863,29.857255 -98.419863,29.866405
TX,Comal,208,-98.412697,29.866405 -98.405532,29.866405 -98.405532,29.857255 -98.412697,29.857255 -98.412697,29.866405
TX,Comal,209,-98.419863,29.857255 -98.412697,29.857255 -98.412697,29.848105 -98.419863,29.848105 -98.419863,29.857255
TX,Comal,210,-98.412697,29.857255 -98.405532,29.857255 -98.405532,29.848105 -98.412697,29.848105 -98.412697,29.857255
TX,Comal,211,-98.405532,29.866405 -98.398367,29.866405 -98.398367,29.857255 -98.405532,29.857255 -98.405532,29.866405
TX,Comal,212,-98.398367,29.866405 -98.391201,29.866405 -98.391201,29.857255 -98.398367,29.857255 -98.398367,29.866405
TX,Comal,213,-98.405532,29.857255 -98.398367,29.857255 -98.398367,29.848105 -98.405532,29.848105 -98.405532,29.857255
TX,Comal,214,-98.398367,29.857255 -98.391201,29.857255 -98.391201,29.848105 -98.398367,29.848105 -98.398367,29.857255
TX,Comal,215,-98.391201,29.884705 -98.383588,29.884705 -98.383588,29.876093 -98.391201,29.876093 -98.391201,29.884705
TX,Comal,216,-98.383588,29.884705 -98.375975,29.884705 -98.375975,29.876093 -98.383588,29.876093 -98.383588,29.884705
