State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Bexar,62,-98.741964,29.671063 -98.741964,29.665299 -98.753333,29.665299 -98.753333,29.671063 -98.741964,29.671063
TX,Bexar,63,-98.741964,29.665299 -98.741964,29.659534 -98.753333,29.659534 -98.753333,29.665299 -98.741964,29.665299
TX,Bexar,64,-98.73249,29.690663 -98.73249,29.683745 -98.741964,29.683745 -98.741964,29.690663 -98.73249,29.690663
TX,Bexar,65,-98.73249,29.683745 -98.73249,29.676828 -98.741964,29.676828 -98.741964,29.683745 -98.73249,29.683745
TX,Bexar,66,-98.723016,29.690663 -98.723016,29.683745 -98.73249,29.683745 -98.73249,29.690663 -98.723016,29.690663
TX,Bexar,67,-98.723016,29.683745 -98.723016,29.676828 -98.73249,29.676828 -98.73249,29.683745 -98.723016,29.683745
TX,Bexar,68,-98.734385,29.676828 -98.734385,29.668181 -98.741964,29.668181 -98.741964,29.676828 -98.734385,29.676828
TX,Bexar,69,-98.734385,29.668181 -98.734385,29.659534 -98.741964,29.659534 -98.741964,29.668181 -98.734385,29.668181
TX,Bexar,70,-98.723016,29.676828 -98.723016,29.671063 -98.734385,29.671063 -98.734385,29.676828 -98.723016,29.676828
TX,Bexar,71,-98.723016,29.671063 -98.723016,29.665299 -98.734385,29.665299 -98.734385,29.671063 -98.723016,29.671063
TX,Bexar,72,-98.723016,29.665299 -98.723016,29.659534 -98.734385,29.659534 -98.734385,29.665299 -98.723016,29.665299
TX,Bexar,73,-98.795654,29.659534 -98.795654,29.653273 -98.806068,29.653273 -98.806173,29.659534 -98.795654,29.659534
TX,Bexar,74,-98.795654,29.653273 -98.795654,29.646948 -98.805962,29.646948 -98.806068,29.653273 -98.795654,29.653273
TX,Bexar,75,-98.78524,29.659534 -98.78524,29.653241 -98.795654,29.653241 -98.795654,29.659534 -98.78524,29.659534
TX,Bexar,76,-98.78524,29.653241 -98.78524,29.646948 -98.795654,29.646948 -98.795654,29.653241 -98.78524,29.653241
TX,Bexar,77,-98.797647,29.646948 -98.797647,29.639021 -98.805907,29.639021 -98.805893,29.642813 -98.805962,29.646948 -98.797647,29.646948
TX,Bexar,78,-98.797647,29.639021 -98.797647,29.631101 -98.805936,29.631101 -98.805907,29.639021 -98.797647,29.639021
TX,Bexar,79,-98.78524,29.646948 -98.78524,29.641666 -98.797647,29.641666 -98.797647,29.646948 -98.78524,29.646948
TX,Bexar,80,-98.797647,29.641666 -98.791444,29.641666 -98.791444,29.631101 -98.797647,29.631101 -98.797647,29.641666
TX,Bexar,81,-98.791444,29.641666 -98.78524,29.641666 -98.78524,29.631101 -98.791444,29.631101 -98.791444,29.641666
TX,Bexar,82,-98.774869,29.659534 -98.774869,29.653216 -98.78524,29.653216 -98.78524,29.659534 -98.774869,29.659534
TX,Bexar,83,-98.774869,29.653216 -98.774869,29.646897 -98.78524,29.646897 -98.78524,29.653216 -98.774869,29.653216
TX,Bexar,84,-98.764497,29.659534 -98.764497,29.653216 -98.774869,29.653216 -98.774869,29.659534 -98.764497,29.659534
