State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Polk,89,-95.08386,30.887956 -95.08386,30.881485 -95.093988,30.881485 -95.093988,30.887956 -95.08386,30.887956
TX,Polk,90,-95.08386,30.881485 -95.08386,30.875014 -95.093988,30.875014 -95.093988,30.881485 -95.08386,30.881485
TX,Polk,91,-95.073732,30.887956 -95.073732,30.881485 -95.08386,30.881485 -95.08386,30.887956 -95.073732,30.887956
TX,Polk,92,-95.073732,30.881485 -95.073732,30.875014 -95.08386,30.875014 -95.08386,30.881485 -95.073732,30.881485
TX,Polk,93,-95.08386,30.875014 -95.08386,30.868543 -95.093988,30.868543 -95.093988,30.875014 -95.08386,30.875014
TX,Polk,94,-95.08386,30.868543 -95.08386,30.862071 -95.093988,30.862071 -95.093988,30.868543 -95.08386,30.868543
TX,Polk,95,-95.073732,30.875014 -95.073732,30.868543 -95.08386,30.868543 -95.08386,30.875014 -95.073732,30.875014
TX,Polk,96,-95.073732,30.868543 -95.073732,30.862071 -95.08386,30.862071 -95.08386,30.868543 -95.073732,30.868543
TX,Polk,97,-95.104115,30.862071 -95.104115,30.8556 -95.114243,30.8556 -95.114243,30.862071 -95.104115,30.862071
TX,Polk,98,-95.104115,30.8556 -95.104115,30.849129 -95.114243,30.849129 -95.114243,30.8556 -95.104115,30.8556
TX,Polk,99,-95.093988,30.862071 -95.093988,30.8556 -95.104115,30.8556 -95.104115,30.862071 -95.093988,30.862071
TX,Polk,100,-95.093988,30.8556 -95.093988,30.849129 -95.104115,30.849129 -95.104115,30.8556 -95.093988,30.8556
TX,Polk,101,-95.104115,30.849129 -95.104115,30.842658 -95.114243,30.842658 -95.114243,30.849129 -95.104115,30.849129
TX,Polk,102,-95.104115,30.842658 -95.104115,30.836186 -95.114243,30.836186 -95.114243,30.842658 -95.104115,30.842658
TX,Polk,103,-95.093988,30.849129 -95.093988,30.842658 -95.104115,30.842658 -95.104115,30.849129 -95.093988,30.849129
TX,Polk,104,-95.093988,30.842658 -95.093988,30.836186 -95.104115,30.836186 -95.104115,30.842658 -95.093988,30.842658
TX,Polk,105,-95.08386,30.862071 -95.08386,30.8556 -95.093988,30.8556 -95.093988,30.862071 -95.08386,30.862071
TX,Polk,106,-95.08386,30.8556 -95.08386,30.849129 -95.093988,30.849129 -95.093988,30.8556 -95.08386,30.8556
TX,Polk,107,-95.073732,30.862071 -95.073732,30.8556 -95.08386,30.8556 -95.08386,30.862071 -95.073732,30.862071
TX,Polk,108,-95.073732,30.8556 -95.073732,30.849129 -95.08386,30.849129 -95.08386,30.8556 -95.073732,30.8556
TX,Polk,109,-95.08386,30.849129 -95.08386,30.842658 -95.093988,30.842658 -95.093988,30.849129 -95.08386,30.849129
TX,Polk,110,-95.08386,30.842658 -95.08386,30.836186 -95.093988,30.836186 -95.093988,30.842658 -95.08386,30.842658
TX,Polk,111,-95.073732,30.849129 -95.073732,30.842658 -95.08386,30.842658 -95.08386,30.849129 -95.073732,30.849129
TX,Polk,112,-95.073732,30.842658 -95.073732,30.836186 -95.08386,30.836186 -95.08386,30.842658 -95.073732,30.842658
TX,Polk,113,-95.104711,30.836186 -95.104711,30.829311 -95.114243,30.829311 -95.114243,30.836186 -95.104711,30.836186
TX,Polk,114,-95.104711,30.829311 -95.104711,30.822435 -95.114243,30.822435 -95.114243,30.829311 -95.104711,30.829311
TX,Polk,115,-95.095179,30.836186 -95.095179,30.829311 -95.104711,30.829311 -95.104711,30.836186 -95.095179,30.836186
TX,Polk,116,-95.095179,30.829311 -95.095179,30.822435 -95.104711,30.822435 -95.104711,30.829311 -95.095179,30.829311
TX,Polk,117,-95.104711,30.822435 -95.104711,30.815559 -95.114243,30.815559 -95.114243,30.822435 -95.104711,30.822435
TX,Polk,118,-95.104711,30.815559 -95.104711,30.808684 -95.114243,30.808684 -95.114243,30.815559 -95.104711,30.815559
TX,Polk,119,-95.095179,30.822435 -95.095179,30.815559 -95.104711,30.815559 -95.104711,30.822435 -95.095179,30.822435
TX,Polk,120,-95.095179,30.815559 -95.095179,30.808684 -95.104711,30.808684 -95.104711,30.815559 -95.095179,30.815559
TX,Polk,121,-95.084456,30.836186 -95.084456,30.830075 -95.095179,30.830075 -95.095179,30.836186 -95.084456,30.836186
TX,Polk,122,-95.084456,30.830075 -95.084456,30.823963 -95.095179,30.823963 -95.095179,30.830075 -95.084456,30.830075
TX,Polk,123,-95.073732,30.836186 -95.073732,30.830075 -95.084456,30.830075 -95.084456,30.836186 -95.073732,30.836186
TX,Polk,124,-95.073732,30.830075 -95.073732,30.823963 -95.084456,30.823963 -95.084456,30.830075 -95.073732,30.830075
TX,Polk,125,-95.0866,30.823963 -95.0866,30.816323 -95.095179,30.816323 -95.095179,30.823963 -95.0866,30.823963
TX,Polk,126,-95.0866,30.816323 -95.0866,30.808684 -95.095179,30.808684 -95.095179,30.816323 -95.0866,30.816323
TX,Polk,127,-95.073732,30.823963 -95.073732,30.81887 -95.0866,30.81887 -95.0866,30.823963 -95.073732,30.823963
TX,Polk,128,-95.0866,30.81887 -95.080166,30.81887 -95.080166,30.808684 -95.0866,30.808684 -95.0866,30.81887
TX,Polk,129,-95.080166,30.81887 -95.073732,30.81887 -95.073732,30.808684 -95.080166,30.808684 -95.080166,30.81887
TX,Polk,130,-95.066111,30.93717 -95.061996,30.940613 -95.053539,30.94755 -95.053539,30.93717 -95.066111,30.93717
TX,Polk,131,-95.053539,30.94755 -95.049194,30.951113 -95.048307,30.951859 -95.048307,30.93717 -95.053539,30.93717 -95.053539,30.94755
TX,Polk,132,-95.040938,30.958057 -95.040938,30.946064 -95.048307,30.946064 -95.048307,30.951859 -95.040938,30.958057
TX,Polk,133,-95.040938,30.946064 -95.040938,30.93717 -95.048307,30.93717 -95.048307,30.946064 -95.040938,30.946064
TX,Polk,134,-95.030557,30.966788 -95.030557,30.956109 -95.040938,30.956109 -95.040938,30.958057 -95.030557,30.966788
TX,Polk,135,-95.030557,30.956109 -95.030557,30.949796 -95.040938,30.949796 -95.040938,30.956109 -95.030557,30.956109
TX,Polk,136,-95.030557,30.949796 -95.030557,30.943483 -95.040938,30.943483 -95.040938,30.949796 -95.030557,30.949796
TX,Polk,137,-95.030557,30.943483 -95.030557,30.93717 -95.040938,30.93717 -95.040938,30.943483 -95.030557,30.943483
TX,Polk,138,-95.015903,30.979113 -95.015903,30.968613 -95.028387,30.968613 -95.015903,30.979113
TX,Polk,139,-95.015903,30.968613 -95.015903,30.964005 -95.030557,30.964005 -95.030557,30.966788 -95.028387,30.968613 -95.015903,30.968613
TX,Polk,140,-95.030557,30.964005 -95.02323,30.964005 -95.02323,30.95506 -95.030557,30.95506 -95.030557,30.964005
TX,Polk,141,-95.02323,30.964005 -95.015903,30.964005 -95.015903,30.95506 -95.02323,30.95506 -95.02323,30.964005
TX,Polk,142,-95.030557,30.95506 -95.02323,30.95506 -95.02323,30.946115 -95.030557,30.946115 -95.030557,30.95506
TX,Polk,143,-95.02323,30.95506 -95.015903,30.95506 -95.015903,30.946115 -95.02323,30.946115 -95.02323,30.95506
TX,Polk,144,-95.030557,30.946115 -95.02323,30.946115 -95.02323,30.93717 -95.030557,30.93717 -95.030557,30.946115
TX,Polk,145,-95.02323,30.946115 -95.015903,30.946115 -95.015903,30.93717 -95.02323,30.93717 -95.02323,30.946115
TX,Polk,146,-95.073732,30.930792 -95.066111,30.93717 -95.064805,30.93717 -95.064805,30.927106 -95.073732,30.927106 -95.073732,30.930792
TX,Polk,147,-95.064805,30.93717 -95.058292,30.93717 -95.058292,30.927106 -95.064805,30.927106 -95.064805,30.93717
TX,Polk,148,-95.073732,30.927106 -95.066012,30.927106 -95.066012,30.918616 -95.073732,30.918616 -95.073732,30.927106
TX,Polk,149,-95.066012,30.927106 -95.058292,30.927106 -95.058292,30.918616 -95.066012,30.918616 -95.066012,30.927106
TX,Polk,150,-95.058292,30.93717 -95.051228,30.93717 -95.051228,30.927893 -95.058292,30.927893 -95.058292,30.93717
TX,Polk,151,-95.051228,30.93717 -95.044163,30.93717 -95.044163,30.927893 -95.051228,30.927893 -95.051228,30.93717
TX,Polk,152,-95.058292,30.927893 -95.051228,30.927893 -95.051228,30.918616 -95.058292,30.918616 -95.058292,30.927893
TX,Polk,153,-95.051228,30.927893 -95.044163,30.927893 -95.044163,30.918616 -95.051228,30.918616 -95.051228,30.927893
TX,Polk,154,-95.044163,30.93717 -95.037098,30.93717 -95.037098,30.927893 -95.044163,30.927893 -95.044163,30.93717
TX,Polk,155,-95.037098,30.93717 -95.030033,30.93717 -95.030033,30.927893 -95.037098,30.927893 -95.037098,30.93717
TX,Polk,156,-95.044163,30.927893 -95.037098,30.927893 -95.037098,30.918616 -95.044163,30.918616 -95.044163,30.927893
TX,Polk,157,-95.037098,30.927893 -95.030033,30.927893 -95.030033,30.918616 -95.037098,30.918616 -95.037098,30.927893
TX,Polk,158,-95.030033,30.93717 -95.022968,30.93717 -95.022968,30.927893 -95.030033,30.927893 -95.030033,30.93717
