State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Calhoun,62,-96.916711,28.571258 -96.910122,28.571258 -96.911297,28.569712 -96.913297,28.569012 -96.915894,28.570011 -96.916711,28.571258 -96.898857,28.571258 -96.898857,28.561008 -96.902558,28.561008 -96.901397,28.563512 -96.903197,28.566512 -96.907196,28.566712 -96.906494,28.570713 -96.907549,28.571258 -96.898857,28.571258
TX,Calhoun,63,-96.898857,28.571258 -96.892462,28.571258 -96.892462,28.561008 -96.898857,28.561008 -96.898857,28.571258
TX,Calhoun,64,-96.892462,28.571258 -96.886067,28.571258 -96.886067,28.561008 -96.892462,28.561008 -96.892462,28.571258
TX,Calhoun,65,-96.892877,28.561008 -96.892877,28.551384 -96.896784,28.551384 -96.896996,28.551912 -96.901197,28.554512 -96.898796,28.559912 -96.900795,28.560513 -96.902695,28.560713 -96.902558,28.561008 -96.892877,28.561008
TX,Calhoun,66,-96.886067,28.561008 -96.886067,28.551384 -96.892877,28.551384 -96.892877,28.561008 -96.886067,28.561008
TX,Calhoun,67,-96.901118,28.540249 -96.900397,28.542412 -96.897697,28.544812 -96.895597,28.548412 -96.896784,28.551384 -96.891954,28.551384 -96.891954,28.540249 -96.901118,28.540249
TX,Calhoun,68,-96.886067,28.551384 -96.886067,28.540249 -96.891954,28.540249 -96.891954,28.551384 -96.886067,28.551384
TX,Calhoun,69,-96.877611,28.571258 -96.877611,28.563506 -96.886067,28.563506 -96.886067,28.571258 -96.877611,28.571258
TX,Calhoun,70,-96.877611,28.563506 -96.877611,28.555754 -96.886067,28.555754 -96.886067,28.563506 -96.877611,28.563506
TX,Calhoun,71,-96.869156,28.571258 -96.869156,28.563506 -96.877611,28.563506 -96.877611,28.571258 -96.869156,28.571258
TX,Calhoun,72,-96.869156,28.563506 -96.869156,28.555754 -96.877611,28.555754 -96.877611,28.563506 -96.869156,28.563506
TX,Calhoun,73,-96.877611,28.555754 -96.877611,28.548001 -96.886067,28.548001 -96.886067,28.555754 -96.877611,28.555754
TX,Calhoun,74,-96.877611,28.548001 -96.877611,28.540249 -96.886067,28.540249 -96.886067,28.548001 -96.877611,28.548001
TX,Calhoun,75,-96.869156,28.555754 -96.869156,28.548001 -96.877611,28.548001 -96.877611,28.555754 -96.869156,28.555754
TX,Calhoun,76,-96.869156,28.548001 -96.869156,28.540249 -96.877611,28.540249 -96.877611,28.548001 -96.869156,28.548001
TX,Calhoun,77,-96.905495,28.531912 -96.903793,28.534311 -96.901695,28.536812 -96.901497,28.539112 -96.901118,28.540249 -96.89712,28.540249 -96.89712,28.529406 -96.903376,28.529406 -96.903496,28.529512 -96.905495,28.531912
TX,Calhoun,78,-96.89712,28.540249 -96.891074,28.540249 -96.891074,28.529406 -96.89712,28.529406 -96.89712,28.540249
TX,Calhoun,79,-96.891074,28.540249 -96.885029,28.540249 -96.885029,28.529406 -96.891074,28.529406 -96.891074,28.540249
TX,Calhoun,80,-96.892591,28.529406 -96.892591,28.520738 -96.897296,28.520738 -96.897995,28.523613 -96.901496,28.524113 -96.900795,28.527113 -96.903376,28.529406 -96.892591,28.529406
TX,Calhoun,81,-96.885029,28.529406 -96.885029,28.520738 -96.892591,28.520738 -96.892591,28.529406 -96.885029,28.529406
