State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Brazoria,106,-95.746519,29.305291 -95.740032,29.305291 -95.740032,29.295188 -95.746519,29.295188 -95.746519,29.305291
TX,Brazoria,107,-95.740032,29.305291 -95.733545,29.305291 -95.733545,29.295188 -95.740032,29.295188 -95.740032,29.305291
TX,Brazoria,108,-95.733545,29.318427 -95.726801,29.316329 -95.726801,29.30766 -95.733545,29.30766 -95.733545,29.318427
TX,Brazoria,109,-95.726801,29.316329 -95.717781,29.313522 -95.717781,29.30766 -95.726801,29.30766 -95.726801,29.316329
TX,Brazoria,110,-95.733545,29.30766 -95.72829,29.30766 -95.72829,29.295188 -95.733545,29.295188 -95.733545,29.30766
TX,Brazoria,111,-95.717781,29.30766 -95.717781,29.301424 -95.72829,29.301424 -95.72829,29.30766 -95.717781,29.30766
TX,Brazoria,112,-95.717781,29.301424 -95.717781,29.295188 -95.72829,29.295188 -95.72829,29.301424 -95.717781,29.301424
TX,Brazoria,113,-95.746519,29.295188 -95.739987,29.295188 -95.739987,29.285154 -95.746519,29.285154 -95.746519,29.295188
TX,Brazoria,114,-95.739987,29.295188 -95.733456,29.295188 -95.733456,29.285154 -95.739987,29.285154 -95.739987,29.295188
TX,Brazoria,115,-95.733456,29.285154 -95.733456,29.280137 -95.746519,29.280137 -95.746519,29.285154 -95.733456,29.285154
TX,Brazoria,116,-95.746519,29.280137 -95.739987,29.280137 -95.739987,29.270103 -95.746519,29.270103 -95.746519,29.280137
TX,Brazoria,117,-95.739987,29.280137 -95.733456,29.280137 -95.733456,29.270103 -95.739987,29.270103 -95.739987,29.280137
TX,Brazoria,118,-95.733456,29.295188 -95.728231,29.295188 -95.728231,29.282646 -95.733456,29.282646 -95.733456,29.295188
TX,Brazoria,119,-95.717781,29.295188 -95.717781,29.288917 -95.728231,29.288917 -95.728231,29.295188 -95.717781,29.295188
TX,Brazoria,120,-95.717781,29.288917 -95.717781,29.282646 -95.728231,29.282646 -95.728231,29.288917 -95.717781,29.288917
TX,Brazoria,121,-95.733456,29.282646 -95.728231,29.282646 -95.728231,29.270103 -95.733456,29.270103 -95.733456,29.282646
TX,Brazoria,122,-95.717781,29.282646 -95.717781,29.276374 -95.728231,29.276374 -95.728231,29.282646 -95.717781,29.282646
TX,Brazoria,123,-95.717781,29.276374 -95.717781,29.270103 -95.728231,29.270103 -95.728231,29.276374 -95.717781,29.276374
TX,Brazoria,124,-95.774794,29.270103 -95.767841,29.270103 -95.767841,29.260677 -95.774794,29.260677 -95.774794,29.270103
TX,Brazoria,125,-95.767841,29.270103 -95.760888,29.270103 -95.760888,29.260677 -95.767841,29.260677 -95.767841,29.270103
TX,Brazoria,126,-95.760888,29.260677 -95.760888,29.255964 -95.774794,29.255964 -95.774794,29.260677 -95.760888,29.260677
TX,Brazoria,127,-95.774794,29.255964 -95.767841,29.255964 -95.767841,29.246538 -95.774794,29.246538 -95.774794,29.255964
TX,Brazoria,128,-95.767841,29.255964 -95.760888,29.255964 -95.760888,29.246538 -95.767841,29.246538 -95.767841,29.255964
TX,Brazoria,129,-95.760888,29.270103 -95.753935,29.270103 -95.753935,29.260677 -95.760888,29.260677 -95.760888,29.270103
