State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Jackson,76,-96.869888,29.064264 -96.863384,29.064264 -96.863384,29.054185 -96.869888,29.054185 -96.869888,29.064264
TX,Jackson,77,-96.863384,29.064264 -96.85688,29.064264 -96.85688,29.054185 -96.863384,29.054185 -96.863384,29.064264
TX,Jackson,78,-96.85688,29.064264 -96.850377,29.064264 -96.850377,29.054185 -96.85688,29.054185 -96.85688,29.064264
TX,Jackson,79,-96.850377,29.074342 -96.843873,29.074342 -96.843873,29.064264 -96.850377,29.064264 -96.850377,29.074342
TX,Jackson,80,-96.843873,29.074342 -96.837369,29.074342 -96.837369,29.064264 -96.843873,29.064264 -96.843873,29.074342
TX,Jackson,81,-96.837369,29.074342 -96.830866,29.074342 -96.830866,29.064264 -96.837369,29.064264 -96.837369,29.074342
TX,Jackson,82,-96.850377,29.064264 -96.843873,29.064264 -96.843873,29.054185 -96.850377,29.054185 -96.850377,29.064264
TX,Jackson,83,-96.843873,29.064264 -96.837369,29.064264 -96.837369,29.054185 -96.843873,29.054185 -96.843873,29.064264
TX,Jackson,84,-96.837369,29.064264 -96.830866,29.064264 -96.830866,29.054185 -96.837369,29.054185 -96.837369,29.064264
TX,Jackson,85,-96.869888,29.054185 -96.86352,29.054185 -96.86352,29.043892 -96.869888,29.043892 -96.869888,29.054185
TX,Jackson,86,-96.86352,29.054185 -96.857152,29.054185 -96.857152,29.043892 -96.86352,29.043892 -96.86352,29.054185
TX,Jackson,87,-96.857152,29.054185 -96.850784,29.054185 -96.850784,29.043892 -96.857152,29.043892 -96.857152,29.054185
TX,Jackson,88,-96.869888,29.043892 -96.861978,29.043892 -96.861978,29.034076 -96.869888,29.037133 -96.869888,29.043892
TX,Jackson,89,-96.850784,29.043892 -96.850784,29.038036 -96.861978,29.038036 -96.861978,29.043892 -96.850784,29.043892
TX,Jackson,90,-96.850784,29.038036 -96.850784,29.031149 -96.854052,29.031149 -96.861297,29.033812 -96.861978,29.034076 -96.861978,29.038036 -96.850784,29.038036
TX,Jackson,91,-96.850784,29.054185 -96.844144,29.054185 -96.844144,29.044312 -96.850784,29.044312 -96.850784,29.054185
TX,Jackson,92,-96.844144,29.054185 -96.837505,29.054185 -96.837505,29.044312 -96.844144,29.044312 -96.844144,29.054185
TX,Jackson,93,-96.837505,29.054185 -96.830866,29.054185 -96.830866,29.044312 -96.837505,29.044312 -96.837505,29.054185
TX,Jackson,94,-96.840825,29.044312 -96.840825,29.03773 -96.850784,29.03773 -96.850784,29.044312 -96.840825,29.044312
TX,Jackson,95,-96.840825,29.03773 -96.840825,29.031149 -96.850784,29.031149 -96.850784,29.03773 -96.840825,29.03773
TX,Jackson,96,-96.830866,29.044312 -96.830866,29.03773 -96.840825,29.03773 -96.840825,29.044312 -96.830866,29.044312
TX,Jackson,97,-96.830866,29.03773 -96.830866,29.031149 -96.840825,29.031149 -96.840825,29.03773 -96.830866,29.03773
TX,Jackson,98,-96.830866,29.141547 -96.81925,29.14974 -96.81925,29.140001 -96.830866,29.140001 -96.830866,29.141547
TX,Jackson,99,-96.809344,29.156728 -96.809344,29.146617 -96.81925,29.146617 -96.81925,29.14974 -96.809344,29.156728
TX,Jackson,100,-96.809344,29.146617 -96.809344,29.140001 -96.81925,29.140001 -96.81925,29.146617 -96.809344,29.146617
TX,Jackson,101,-96.799593,29.163606 -96.799593,29.153445 -96.809344,29.153445 -96.809344,29.156728 -96.799593,29.163606
TX,Jackson,102,-96.799593,29.153445 -96.799593,29.146723 -96.809344,29.146723 -96.809344,29.153445 -96.799593,29.153445
TX,Jackson,103,-96.799593,29.146723 -96.799593,29.140001 -96.809344,29.140001 -96.809344,29.146723 -96.799593,29.146723
TX,Jackson,104,-96.830866,29.140001 -96.825654,29.140001 -96.825654,29.127424 -96.830866,29.127424 -96.830866,29.140001
TX,Jackson,105,-96.815229,29.140001 -96.815229,29.133712 -96.825654,29.133712 -96.825654,29.140001 -96.815229,29.140001
TX,Jackson,106,-96.815229,29.133712 -96.815229,29.127424 -96.825654,29.127424 -96.825654,29.133712 -96.815229,29.133712
TX,Jackson,107,-96.815229,29.140001 -96.810017,29.140001 -96.810017,29.127424 -96.815229,29.127424 -96.815229,29.140001
TX,Jackson,108,-96.799593,29.140001 -96.799593,29.133712 -96.810017,29.133712 -96.810017,29.140001 -96.799593,29.140001
