Name,Unit,Lease Rate,New Price,New Hours,Current Price,Hours Remain,Width,Speed,Field Eff.,Hours Power,Rf1,Rf2,Ir Loan,L Loan,Ir Equity,P Debt,Year,Rv1,Rv2
79,"Chopper - flail chopper, 10 ft",each,100,7150,1200,7150,1200,10,5,80,0,0.28,1.4,0.08,5,0.08,0.5,4,0.6,0.885
80,"Chopper - flail chopper, 15 ft",each,100,9350,1200,9350,1200,15,5,80,0,0.28,1.4,0.08,5,0.08,0.5,4,0.6,0.885
81,"Chopper - forage chop, 10 ft",each,100,25000,3000,25000,3000,10,3,70,0,0.15,1.6,0.08,5,0.08,0.5,4,0.56,0.885
82,"Chopper - forage chop, 7 ft",each,100,18260,3000,18260,3000,7,3,70,0,0.15,1.6,0.08,5,0.08,0.5,4,0.56,0.885
83,Chopper - silage chopper--pull type,each,100,6000,1200,6000,1200,9,5,80,0,0.28,1.4,0.08,5,0.08,0.5,4,0.56,0.885
84,Chopper - stalk chopper 6 ft,each,100,3000,2200,3000,2200,6,8,85,0,0.28,1.4,0.08,5,0.08,0.5,4,0.6,0.885
85,Clearcut,each,100,31867,2500,28970,2500,1.5,4.51,60,0,0.15,1.6,0.08,5,0.08,0.5,4,0.56,0.885
86,Coiltine harrow,each,100,13090,900,13090,900,20,3,70,0,0.12,2.3,0.08,5,0.08,0.5,4,0.56,0.885
87,Combine,each,100,17190,900,17190,900,15,5.5,65,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
88,Combine 624,each,100,14,1,0,1,0,0,0,0,0,0,0.08,5,0.08,0.5,4,0,0
89,Combine 624,each,100,41,1,41,1,0,0,0,0,0,0,0.08,5,0.08,0.5,4,0,0
90,Combine - 130 hp combine,each,100,78800,5500,78800,5500,8,6,70,130,0.02,2.1,0.08,5,0.08,0.5,4,0.64,0.885
91,Combine - 150 hp combine,each,100,100975,5500,100975,5500,16,8,75,150,0.02,2.1,0.08,5,0.08,0.5,4,0.64,0.885
92,Combine - 190 hp combine,each,100,116400,5500,116400,5500,8,6,70,190,0.02,2.1,0.08,5,0.08,0.5,4,0.64,0.885
93,Combine - 240 hp combine,each,100,128900,5500,128900,5500,8,6,70,240,0.02,2.1,0.08,5,0.08,0.5,4,0.64,0.885
