Code	DM	TDN	DE	ME	NEm	NEg	Sugar	Starch	Fat	NDF	Carb	protein	RDP	RUP	Ash     Animal feed
	% AF	% of DM	---------Mcal/kg-----------	------------------% of DM---------------------- % CP	% CP    % DM

51	58.94	82.00	3.61	2.96	2.00	1.35	0.00	57.02	3.46	23.28	86.47	8.08	55.18	44.67	1.99	Corn_Snaplage
52	40.74	53.60	2.36	1.94	1.09	0.54	0.00	5.98	1.99	63.78	79.05	6.81	70.90	29.01	12.15	Corn_Stalklage
53	85.81	52.70	2.32	1.90	1.06	0.51	3.10	10.80	1.44	70.83	81.39	6.07	63.40	36.30	11.10	Cornstalks
54	46.41	98.00	0.00	3.54	2.47	1.74	15.03	11.40	4.51	3.55	52.42	31.78	0.00	0.00	11.29	Corn_Steep
55	90.55	45.20	0.00	1.63	0.80	0.26	2.70	6.03	2.48	60.90	73.52	8.66	35.57	63.93	15.34	Cotton_Burrs
56	90.87	48.50	2.14	1.75	0.91	0.37	0.00	1.06	3.64	60.57	72.02	12.29	35.57	63.93	12.05	Cotton_Gin_Trash
57	91.43	42.00	1.85	1.52	0.68	0.15	0.00	1.13	2.71	81.07	86.99	6.68	29.88	70.12	3.62	Cottonseed_Hulls
58	88.59	69.60	3.07	2.52	1.62	1.02	0.00	1.70	3.93	33.60	43.56	44.98	57.19	42.70	7.53	Cottonseed_Meal
59	92.63	93.00	0.00	3.36	2.33	1.62	0.00	2.20	19.45	47.82	53.56	22.87	73.00	27.00	4.12	Cottonseed_Whole
60	89.99	89.00	3.92	3.22	2.21	1.52	1.16	5.88	10.73	33.66	53.16	30.79	32.00	67.93	5.32	DGSDC
61	47.83	93.00	4.10	3.36	2.33	1.62	0.00	3.36	10.22	28.73	54.05	29.08	32.00	67.93	6.65	DGSMC
62	31.44	98.00	4.32	3.54	2.47	1.74	0.90	6.06	10.84	31.52	53.40	30.63	29.92	69.93	5.13	DGSWC
63	30.89	98.00	4.32	3.54	2.47	1.74	4.02	10.68	16.85	4.71	55.10	18.94	53.00	47.00	9.11	Distillers_Solubles_Corn
64	92.00	79.10	3.49	2.86	1.92	1.27	17.70	0.74	9.67	25.80	0.58	87.00	29.16	70.84	2.75	Feather_Meal
65	88.93	58.30	0.00	2.11	1.25	0.68	0.00	0.00	2.10	64.99	80.33	9.22	74.00	26.00	8.35	Fescue_Hay
66	88.17	75.80	0.00	2.74	1.81	1.19	0.00	43.90	0.95	13.10	69.88	25.17	88.20	11.80	4.00	Field_Peas_High_CP
67	89.86	59.00	0.00	2.13	1.28	0.71	0.00	46.28	1.90	0.00	79.44	14.66	77.70	22.30	4.00	Field_Peas_Low_CP
68	92.30	81.90	3.61	2.96	2.00	1.35	0.00	5.82	11.89	13.60	1.85	66.24	54.96	45.04	20.02	Fish_Meal
69	91.63	81.60	3.60	2.95	1.99	1.34	0.00	1.98	27.67	31.84	38.53	28.68	65.08	34.77	5.12	Flaxseed
70	28.86	57.40	2.53	2.08	1.22	0.66	1.44	9.79	2.90	57.71	79.18	9.03	69.68	30.18	8.89	Forage_Sorghum_Silage
71	31.82	57.10	2.52	2.06	1.21	0.65	0.00	2.08	2.98	59.85	73.87	12.77	70.56	29.28	10.38	Forage_Sorghum_Sudan
72	88.77	56.80	2.50	2.05	1.20	0.64	12.60	2.86	2.02	62.70	78.12	11.03	64.77	35.19	8.83	Forage_Sorghum_Sudan Hay
73	31.28	56.10	2.47	2.03	1.18	0.62	5.77	2.90	3.28	61.13	74.26	12.27	69.45	30.44	10.19	Forage_Sorghum_Sudan_Sil
74	30.55	60.10	2.65	2.17	1.31	0.74	0.00	11.98	2.21	56.04	81.10	8.90	65.57	34.38	7.79	Forage_Sorghum_Fresh
75	88.66	58.80	2.59	2.13	1.27	0.70	0.00	9.52	2.09	58.52	81.27	9.05	61.95	38.02	7.59	Forage_Sorghum_Hay
76	76.01	47.60	0.00	1.72	0.88	0.34	0.00	0.00	0.00	60.30	85.19	9.81	35.57	63.93	5.00	Foxtail_Millet
77	33.35	60.30	2.66	2.18	1.32	0.75	0.00	5.89	3.54	45.34	68.31	19.59	67.07	32.79	8.56	Fresh_Soybean_Forage
78	80.25	69.00	0.00	2.49	1.60	1.00	1.40	0.35	6.24	0.30	86.23	0.84	0.00	0.00	6.69	Glycerin
79	88.70	86.00	3.79	3.11	2.12	1.45	0.10	71.16	3.50	7.20	82.77	11.64	28.61	71.11	2.09	Grain_Sorghum_Grain
80	84.79	54.50	0.00	1.97	1.12	0.56	0.00	7.33	1.59	56.44	78.49	8.95	62.64	37.15	10.97	Grain_Sorghum_Hay
